gene	biol_replicate	sugar	strain	day	CT	run	Sample Name	Ct_mean_ref	dCt	dCt_mean_gluc	ddCt	2^-ddCt
yihS	1	SQ	K12	day1_4	12.4	1	wt_yihS_SQ1	11.525	0.875	11.000000000000002	-10.125000000000002	1116.68
yihS	1	SQ	K12	day2_1	12.8	2	wt_yihS_SQ1	10.275	2.5250000000000004	11.725000000000001	-9.200000000000001	588.134
yihS	1	SQ	K12	day1_2	11.9	1	wt_yihS_SQ1	11.525	0.375	11.000000000000002	-10.625000000000002	1579.224
yihS	1	SQ	K12	day1_1	12.3	1	wt_yihS_SQ1	11.525	0.7750000000000004	11.000000000000002	-10.225000000000001	1196.828
yihS	1	SQ	K12	day1_3	12.5	1	wt_yihS_SQ1	11.525	0.9749999999999996	11.000000000000002	-10.025000000000002	1041.899
yihT	1	G	K12	day1_1	29.4	1	wt_yihT_G1	10.25	19.15	19.25	-0.10000000000000142	1.072
yihT	1	G	K12	day2_2	28.3	2	wt_yihT_G1	10.0	18.3	18.375	-0.07499999999999929	1.053
yihT	1	G	K12	day1_3	29.6	1	wt_yihT_G1	10.25	19.35	19.25	0.10000000000000142	0.933
yihT	1	G	K12	day2_1	28.7	2	wt_yihT_G1	10.0	18.7	18.375	0.3249999999999993	0.798
yihT	1	G	K12	day1_2	29.5	1	wt_yihT_G1	10.25	19.25	19.25	0.0	1.0
yihT	1	G	K12	day2_3	28.6	2	wt_yihT_G1	10.0	18.6	18.375	0.22500000000000142	0.856
yihT	1	G	K12	day2_4	27.9	2	wt_yihT_G1	10.0	17.9	18.375	-0.4750000000000014	1.39
yihT	1	G	K12	day1_4	29.5	1	wt_yihT_G1	10.25	19.25	19.25	0.0	1.0
yihT	1	Lac	K12	day1_3	29.0	1	wt_yihT_Lac1	13.025	15.975	19.25	-3.2750000000000004	9.68
yihT	1	Lac	K12	day2_2	27.9	2	wt_yihT_Lac1	12.175	15.724999999999998	18.375	-2.650000000000002	6.277
yihT	1	Lac	K12	day1_2	28.5	1	wt_yihT_Lac1	13.025	15.475	19.25	-3.7750000000000004	13.69
yihT	1	Lac	K12	day1_1	28.9	1	wt_yihT_Lac1	13.025	15.874999999999998	19.25	-3.3750000000000018	10.375
yihT	1	Lac	K12	day2_3	28.3	2	wt_yihT_Lac1	12.175	16.125	18.375	-2.25	4.757
yihT	1	Lac	K12	day1_4	29.0	1	wt_yihT_Lac1	13.025	15.975	19.25	-3.2750000000000004	9.68
yihT	1	Lac	K12	day2_4	27.3	2	wt_yihT_Lac1	12.175	15.125	18.375	-3.25	9.514
yihT	1	Lac	K12	day2_1	28.2	2	wt_yihT_Lac1	12.175	16.025	18.375	-2.3500000000000014	5.098
yihT	1	SQ	K12	day2_4	21.0	2	wt_yihT_SQ1	10.275	10.725	18.375	-7.65	200.854
yihT	1	SQ	K12	day2_3	20.7	2	wt_yihT_SQ1	10.275	10.424999999999999	18.375	-7.950000000000001	247.28
yihT	1	SQ	K12	day1_3	21.3	1	wt_yihT_SQ1	11.525	9.775	19.25	-9.475	711.638
yihT	1	SQ	K12	day2_2	19.5	2	wt_yihT_SQ1	10.275	9.225	18.375	-9.15	568.1
yihT	1	SQ	K12	day2_1	20.6	2	wt_yihT_SQ1	10.275	10.325000000000001	18.375	-8.049999999999999	265.028
yihT	1	SQ	K12	day1_4	21.6	1	wt_yihT_SQ1	11.525	10.075000000000001	19.25	-9.174999999999999	578.03
yihT	1	SQ	K12	day1_2	21.0	1	wt_yihT_SQ1	11.525	9.475	19.25	-9.775	876.129
yihT	1	SQ	K12	day1_1	19.7	1	wt_yihT_SQ1	11.525	8.174999999999999	19.25	-11.075000000000001	2157.283
yihU	1	G	K12	day2_3	28.3	2	wt_yihU_G1	10.0	18.3	18.725	-0.4250000000000007	1.343
yihU	1	G	K12	day2_4	28.6	2	wt_yihU_G1	10.0	18.6	18.725	-0.125	1.091
yihU	1	G	K12	day2_2	29.0	2	wt_yihU_G1	10.0	19.0	18.725	0.2749999999999986	0.826
yihU	1	G	K12	day1_2	30.9	1	wt_yihU_G1	10.25	20.65	21.01666666666667	-0.3666666666666707	1.289
yihU	1	G	K12	day1_4	31.1	1	wt_yihU_G1	10.25	20.85	21.01666666666667	-0.16666666666666785	1.122
yihU	1	G	K12	day2_1	29.0	2	wt_yihU_G1	10.0	19.0	18.725	0.2749999999999986	0.826
yihU	1	G	K12	day1_3	31.8	1	wt_yihU_G1	10.25	21.55	21.01666666666667	0.5333333333333314	0.691
yihU	1	Lac	K12	day2_3	30.2	2	wt_yihU_Lac1	12.175	18.025	18.725	-0.7000000000000028	1.625
yihU	1	Lac	K12	day2_2	30.2	2	wt_yihU_Lac1	12.175	18.025	18.725	-0.7000000000000028	1.625
